,REL,SEC,SOUR,SOURSTAT,STAT,READ
351,51.20462,1656243136.0,-59.99809,136,8,-1.594159e-07
352,51.27383,1656243136.0,-59.99791,136,8,-1.157005e-07
353,51.34307,1656243136.0,-59.9976,136,8,-1.544324e-07
354,52.28229,1656243137.0,-59.99835,136,8,-1.268907e-07
355,53.22151,1656243138.0,-59.99829,136,8,-1.356436e-07
356,54.16072,1656243139.0,-59.99873,136,8,-1.323104e-07
357,55.31918,1656243140.0,-59.99931,136,8,-1.374049e-07
358,56.25841,1656243141.0,-59.9991,136,8,-8.636079e-08
359,56.32765,1656243141.0,-59.99982,136,8,-1.114801e-07
360,57.26684,1656243142.0,-59.99954,136,8,-1.447006e-07
361,58.20605,1656243143.0,-59.99841,136,8,-9.404325e-08
362,58.27529,1656243143.0,-59.99842,136,8,-1.180737e-07
363,58.3445,1656243143.0,-59.9983,136,8,-1.179431e-07
364,58.41373,1656243143.0,-59.99866,136,8,-1.042467e-07
365,58.48295,1656243144.0,-59.99784,136,8,-1.313009e-07
366,58.55217,1656243144.0,-59.998,136,8,-1.058745e-07
367,59.49138,1656243145.0,-60.00036,136,8,-1.031018e-07
368,60.43062,1656243146.0,-59.99849,136,8,-9.131525e-08
369,61.3698,1656243146.0,-59.99822,136,8,-7.924953e-08
370,61.7295,1656243147.0,-59.9985,136,8,-1.049969e-07
371,62.37825,1656243147.0,-59.99788,136,8,-1.035468e-07
372,62.44747,1656243148.0,-59.99788,136,8,-1.151226e-07
373,62.51671,1656243148.0,-59.99926,136,8,-1.323303e-07
374,62.58594,1656243148.0,-59.99912,136,8,-1.322068e-07
375,63.52519,1656243149.0,-59.99982,136,8,-1.251356e-07
376,63.59441,1656243149.0,-59.99882,136,8,-1.090162e-07
377,63.66364,1656243149.0,-59.99879,136,8,-1.156894e-07
378,64.60287,1656243150.0,-59.99874,136,8,-1.180676e-07
379,64.67211,1656243150.0,-59.99966,136,8,-1.119771e-07
380,64.74133,1656243150.0,-59.99872,136,8,-1.197407e-07
381,65.68058,1656243151.0,-59.9987,136,8,-1.583797e-07
382,66.6198,1656243152.0,-59.99929,136,8,-8.297039e-08
383,67.55903,1656243153.0,-59.99962,136,8,-1.186061e-07
384,67.62827,1656243153.0,-59.99942,136,8,-1.267902e-07
385,67.69751,1656243153.0,-59.99974,136,8,-1.150896e-07
386,68.85594,1656243154.0,-59.99945,136,8,-1.301858e-07
387,68.92517,1656243154.0,-59.99952,136,8,-1.019993e-07
388,69.8644,1656243155.0,-59.99979,136,8,-1.085255e-07
389,69.93364,1656243155.0,-59.99932,136,8,-1.348461e-07
390,70.00286,1656243155.0,-59.9982,136,8,-1.370632e-07
391,70.94205,1656243156.0,-59.99788,136,8,-8.235466e-08
392,71.0113,1656243156.0,-59.9992,136,8,-1.236012e-07
393,71.08052,1656243156.0,-59.99992,136,8,-1.058682e-07
394,72.01973,1656243157.0,-59.99916,136,8,-7.381368e-08
395,72.95895,1656243158.0,-59.99997,136,8,-8.340876e-08
396,74.11738,1656243159.0,-59.99963,136,8,-9.154697e-08
397,74.18663,1656243159.0,-59.99968,136,8,-1.078738e-07
398,74.25584,1656243159.0,-59.99855,136,8,-1.278116e-07
399,75.19505,1656243160.0,-59.99793,136,8,-1.459735e-07
400,76.13427,1656243161.0,-59.99916,136,8,-8.377571e-08
401,76.2035,1656243161.0,-59.99896,136,8,-1.363621e-07
402,76.27274,1656243161.0,-59.99849,136,8,-1.061937e-07
403,77.43117,1656243163.0,-59.99812,136,8,-1.083935e-07
404,78.58958,1656243164.0,-59.99918,136,8,-1.081196e-07
405,78.65881,1656243164.0,-59.99956,136,8,-1.06364e-07
406,78.72804,1656243164.0,-59.99929,136,8,-1.183621e-07
407,78.79726,1656243164.0,-59.99839,136,8,-1.303749e-07
408,78.86648,1656243164.0,-59.99807,136,8,-1.000681e-07
409,78.9357,1656243164.0,-59.99884,136,8,-1.006442e-07
410,80.09413,1656243165.0,-59.99874,136,8,-1.248423e-07
411,80.16336,1656243165.0,-59.99968,136,8,-1.173518e-07
412,81.3218,1656243166.0,-59.99906,136,8,-1.65451e-07
413,82.26102,1656243167.0,-59.99858,136,8,-1.138777e-07
414,82.33024,1656243167.0,-60.00079,136,8,-1.141372e-07
415,82.39946,1656243167.0,-59.99934,136,8,-1.226268e-07
416,82.46868,1656243168.0,-59.99803,136,8,-1.113964e-07
417,82.53791,1656243168.0,-59.99914,136,8,-1.456201e-07
418,82.60715,1656243168.0,-59.99992,136,8,-1.157337e-07
